State,Under 5 Years,5 to 13 Years,14 to 17 Years,18 to 24 Years,25 to 44 Years
AL,310504,552339,259034,450818,1231572
AK,52083,85640,42153,74257,198724
AZ,515910,828669,362642,601943,1804762
AR,202070,343207,157204,264160,754420
CA,2704659,4499890,2159981,3853788,10604510
CO,358280,587154,261701,466194,1464939
CT,211637,403658,196918,325110,916955
DE,59319,99496,47414,84464,230183
DC,36352,50439,25225,75569,193557
FL,1140516,1938695,925060,1607297,4782119
GA,740521,1250460,557860,919876,2846985
HI,87207,134025,64011,124834,356237
ID,121746,201192,89702,147606,406247
IL,894368,1558919,725973,1311479,3596343
IN,443089,780199,361393,605863,1724528
IA,201321,345409,165883,306398,750505
KS,202529,342134,155822,293114,728166
KY,284601,493536,229927,381394,1179637
LA,310716,542341,254916,471275,1162463
ME,71459,133656,69752,112682,331809
MD,371787,651923,316873,543470,1556225
MA,383568,701752,341713,665879,1782449
MI,625526,1179503,585169,974480,2628322
MN,358471,606802,289371,507289,1416063
MS,220813,371502,174405,305964,764203
MO,399450,690476,331543,560463,1569626
MT,61114,106088,53156,95232,236297
NE,132092,215265,99638,186657,457177
NV,199175,325650,142976,212379,769913
NH,75297,144235,73826,119114,345109
NJ,557421,1011656,478505,769321,2379649
NM,148323,241326,112801,203097,517154
NY,1208495,2141490,1058031,1999120,5355235
NC,652823,1097890,492964,883397,2575603
ND,41896,67358,33794,82629,154913
OH,743750,1340492,646135,1081734,3019147
OK,266547,438926,200562,369916,957085
OR,243483,424167,199925,338162,1044056
PA,737462,1345341,679201,1203944,3157759
RI,60934,111408,56198,114502,277779
SC,303024,517803,245400,438147,1193112
SD,58566,94438,45305,82869,196738
TN,416334,725948,336312,550612,1719433
TX,2027307,3277946,1420518,2454721,7017731
UT,268916,413034,167685,329585,772024
VT,32635,62538,33757,61679,155419
VA,522672,887525,413004,768475,2203286
WA,433119,750274,357782,610378,1850983
WV,105435,189649,91074,157989,470749
WI,362277,640286,311849,553914,1487457
WY,38253,60890,29314,53980,137338,147279,65614