language,Image,Text,Sound,Video,3D
de,2745268,1652246,39563,65511,13663
fr,2001898,1714538,17365,111756,154
nl,3079563,365138,4310,6262,0
mul,1029768,817164,351019,45825,456
es,511773,2252343,2391,11200,56
en,2204779,523162,4466,4923,176
it,1947411,635324,31914,27509,310
sv,1383100,1542129,405,4700,0
no,1745792,2787,589,1171,86
pl,285601,1452376,331,2221,32
da,434179,320992,2,4956,0
hu,339798,247428,446,5799,97
cs,209764,13555,0,154815,0
el,118408,153883,881,4675,376
et,228735,48553,16014,5453,0
pt,166014,67999,479,367,0
sl,102304,72333,112,3082,285
fi,101333,33047,494,699,0
lv,61350,69775,0,105,0
ca,183007,1035,0,104,334
lt,78440,28618,0,12,0
sk,92066,2435,0,0,0
bg,32442,11554,13738,8,0
swe,0,0,0,0,0
ru,44217,15823,1,6,0
ro,46132,8433,140,3882,60
sr,2400,48387,599,0,0
tr,0,47275,0,0,0
hr,5147,24758,3,6,138
mt,7218,0,0,0,0
yi,0,6789,0,0,0
is,4018,328251,0,0,0
ga,1,6,10,13,0
uk,2,23,0,0,0